标准实体编号,标准实体名称,实体类型,别名集合,定义或备注,代表来源文档,代表来源页码,代表证据句,关联原始实体数,累计提及次数,最高置信度,复核状态
SE0476,平面形状设计,专业概念,,展了适用于单-双折叠翼变体飞行器的飞机总体参数拟定方法和平面形状设计方,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,展了适用于单-双折叠翼变体飞行器的飞机总体参数拟定方法和平面形状设计方,1,1,0.9,建议抽样复核
SE0477,总体参数拟定,专业概念,,展了适用于单-双折叠翼变体飞行器的飞机总体参数拟定方法和平面形状设计方,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,展了适用于单-双折叠翼变体飞行器的飞机总体参数拟定方法和平面形状设计方,1,9,0.95,建议抽样复核
SE0478,总体设计,专业概念,,总体设计层面的代价也将十分突出明显。,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,总体设计层面的代价也将十分突出明显。,1,20,0.95,建议抽样复核
SE0479,概念设计,专业概念,,本文所研究的空天飞行器概念设计阶段基础外,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,2,本文所研究的空天飞行器概念设计阶段基础外,1,6,0.95,建议抽样复核
SE0480,经济性,专业概念,,经济性消耗愈发受到重视的现代社会，变构技术当前,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,4,经济性消耗愈发受到重视的现代社会，变构技术当前,1,3,0.95,建议抽样复核
SE0481,荷兰滚模态判据,专业概念,,向稳定性的荷兰滚模态判据。可以看出，无论是小,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,6,向稳定性的荷兰滚模态判据。可以看出，无论是小,1,1,0.9,建议抽样复核
SE0482,设计规律,专业概念,,性，总结形成了单-双折叠翼变体飞行器的气动设计规律和设计准则；在动力学和,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,性，总结形成了单-双折叠翼变体飞行器的气动设计规律和设计准则；在动力学和,1,20,0.95,建议抽样复核
SE0483,阵面推进法,专业概念,,2024年中国航天大会论文集SpaceLiner飞行器为代表下一代空天飞行器概念，可以解决民航客机远距离客运飞行时间过长的问题，其远距离水平滑翔降落的特点充分节省了燃料，但是在高空段由于其大曲率的端头…,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,2,2024 年中国航天大会论文集 SpaceLiner飞行器为代表下一代空天飞行器概念，可 以解决民航客机远距离客运飞行时间过长的问题， 其远距离水平滑翔降落的特点充分节省了燃料，但 是在高空段由于其大曲率的端头和展开翼的存在会 面临较大的防热压力。 传统飞行器性能提升面临天花板，变形飞行器 利用新的技术途径，可显著提升飞行性能、拓展任 务剖面，意义重大且发展潜力突出[10]。由此，笔者 提出了一种可变构型的空天飞行器设计方案，通过,1,1,0.9,建议抽样复核
SE0484,降噪减阻,专业概念,,达到降噪减阻的目的。项目中设计的自适应后缘,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,4,达到降噪减阻的目的。项目中设计的自适应后缘,1,2,0.9,建议抽样复核
SE0485,隐身能力,专业概念,,高隐身能力等。此外，由于采用变前掠和折叠机,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,高隐身能力等。此外，由于采用变前掠和折叠机,1,1,0.9,建议抽样复核
SE0486,非稳态流动,专业概念,,布局设计出发解决动态变体过程中非稳态流动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,29,布局设计出发解决动态变体过程中非稳态流动,1,3,0.95,建议抽样复核
